Date,Korea_KOSPI,Swiss_SMI,Swiss_Returns,Korea_Returns,Korea_News_Sentiment
2026-02-13,5507.009765625,13600.669921875,0.0052155268856447,-0.0027672275872079,0.0
2026-02-16,5507.009765625,13656.0,0.0040599350019189,0.0,0.0
2026-02-17,5507.009765625,13752.83984375,0.0070663513861207,0.0,0.0
2026-02-18,5507.009765625,13807.0400390625,0.0039332729619218,0.0,0.0
2026-02-19,5677.25,13799.58984375,-0.0005397395861059,0.0304451769726289,0.0
2026-02-20,5808.52978515625,13859.759765625,0.004350790429975,0.0228605292524085,0.0
2026-02-23,5846.08984375,13871.0595703125,0.0008149636818172,0.006445545170212,0.0
2026-02-24,5969.64013671875,13997.1298828125,0.0090476758617661,0.0209136119958463,0.0
2026-02-25,6083.85986328125,13977.099609375,-0.0014320520868124,0.0189526935019501,0.0
2026-02-26,6307.27001953125,13913.73046875,-0.0045440920538188,0.036063598955438,0.0
2026-02-27,6244.1298828125,14014.2998046875,0.0072020668598156,-0.0100611357824825,0.0
2026-03-02,6244.1298828125,13834.099609375,-0.012941692463641,0.0,0.0
2026-03-03,5791.91015625,13404.9296875,-0.0315140040533231,-0.0751796603900745,0.0
2026-03-04,5093.5400390625,13510.740234375,0.007862415630812,-0.1284890654335964,0.0
2026-03-05,5583.89990234375,13298.2998046875,-0.015848749238473,0.0919143616690205,0.0
2026-03-06,5584.8701171875,13095.5498046875,-0.0153637298952929,0.0001737370980857,0.0
2026-03-09,5251.8701171875,13000.08984375,-0.0073161944315527,-0.0614769506270138,0.0
2026-03-10,5532.58984375,13065.1904296875,0.004995205930707,0.0520718061067391,0.0
2026-03-11,5609.9501953125,12958.58984375,-0.0081925977746079,0.0138858095751133,0.0
2026-03-12,5583.25,12842.16015625,-0.0090253560717308,-0.0047707975358406,0.0
2026-03-13,5487.240234375,12839.26953125,-0.0002251140257674,-0.017345604536938,0.0
2026-03-16,5549.85009765625,12882.2001953125,0.003338122151167,0.0113454783807666,0.0
2026-03-17,5640.47998046875,12962.41015625,0.0062071137754011,0.0161982468466349,0.0
2026-03-18,5925.02978515625,12765.48046875,-0.0153089529537038,0.0492165492302395,0.0
2026-03-19,5763.22021484375,12459.5400390625,-0.024258091851891,-0.0276893304729689,0.0
2026-03-20,5781.2001953125,12320.990234375,-0.0111822666327373,0.0031149238104439,0.0
2026-03-23,5405.75,12389.6796875,0.0055595117626669,-0.0671481055047579,0.0
2026-03-24,5553.919921875,12515.9404296875,0.0101392234576595,0.0270407688092308,0.0
2026-03-25,5642.2099609375,12718.3603515625,0.0160435801616874,0.0157718551264381,0.0
2026-03-26,5460.4599609375,12641.9599609375,-0.0060252095253258,-0.0327427976689296,0.0
2026-03-27,5438.8701171875,12570.259765625,-0.0056877489871747,-0.0039616878896048,0.0
2026-03-30,5277.2998046875,12668.669921875,0.0077983223688858,-0.0301567739680993,0.0
2026-03-31,5052.4599609375,12776.7900390625,0.0084982364677872,-0.0435393206208195,0.0
2026-04-01,5478.7001953125,12991.25,0.0166458071721232,0.0809926365292884,0.0
2026-04-02,5234.0498046875,12981.9697265625,-0.0007146032667585,-0.0456825625196019,0.0
2026-04-03,5377.2998046875,12981.9697265625,0.0,0.0270010334729521,0.0
2026-04-06,5450.330078125,12981.9697265625,0.0,0.013489818492036,0.0
2026-04-07,5494.77978515625,12790.349609375,-0.014870500848999,0.008122339923015,0.0
2026-04-08,5872.33984375,13113.4296875,0.0249459222622917,0.0664546533777559,0.0
2026-04-09,5778.009765625,13159.5595703125,0.0035115859686182,-0.0161938727535917,0.0
2026-04-10,5858.8701171875,13183.2802734375,0.0018009227309474,0.0138974800495749,0.0
2026-04-13,5808.6201171875,13145.91015625,-0.0028386852517737,-0.008613730920267,0.0
2026-04-14,5967.75,13269.76953125,0.0093777850258764,0.0270269306323719,0.0
2026-04-15,6091.39013671875,13219.580078125,-0.0037894107574266,0.0205063492006492,0.0
2026-04-16,6226.0498046875,13173.169921875,-0.0035168903646186,0.0218657503111116,0.0
2026-04-17,6191.919921875,13426.7197265625,0.0190645515851735,-0.0054968677653049,0.0
2026-04-20,6219.08984375,13284.2197265625,-0.0106698869333701,0.0043783649827382,0.0
2026-04-21,6388.47021484375,13134.1396484375,-0.0113619237681662,0.0268712680573119,0.0
2026-04-22,6417.93017578125,13067.6298828125,-0.0050767493694723,0.0046008264625939,0.0
2026-04-23,6475.81005859375,13248.0595703125,0.0137129232513441,0.008978042142159,0.0
2026-04-24,6475.6298828125,13169.7001953125,-0.0059323429012535,-2.78232817473074e-05,0.0
2026-04-27,6615.02978515625,13165.23046875,-0.0003394523161983,0.0212984181727765,0.0
2026-04-28,6641.02001953125,13147.9404296875,-0.0013141739258743,0.0039212688637773,0.0
2026-04-29,6690.89990234375,13031.900390625,-0.0088648972152832,0.0074828105548187,0.0
2026-04-30,6598.8701171875,13136.26953125,0.0079768431918329,-0.0138499396330799,0.0
2026-05-04,6936.990234375,13003.330078125,-0.0101715865034122,0.049969556631634,0.0
2026-05-05,6936.990234375,13052.169921875,0.003748912970467,0.0,0.0
2026-05-06,7384.56005859375,13283.259765625,0.0175501807214126,0.0625233452697486,0.0
2026-05-07,7490.0498046875,13135.4296875,-0.0111914424324952,0.0141841050852041,0.0
2026-05-08,7498.0,13100.6298828125,-0.0026528240647418,0.001060871315712,0.0
2026-05-11,7822.240234375,13101.330078125,5.344602569502264e-05,0.0423346702013916,0.0
2026-05-12,7643.14990234375,13119.5302734375,0.0013882228112556,-0.0231611794225253,0.0
2026-05-13,7844.009765625,13212.9599609375,0.0070961826039771,0.0259403442209779,0.0
2026-05-14,7981.41015625,13212.9599609375,0.0,0.0173649538460724,0.0
2026-05-15,7493.18017578125,13220.169921875,0.0005455245858715,-0.0631218101862391,0.0
2026-05-18,7516.0400390625,13240.7001953125,0.0015517462174278,0.0030461117406541,0.0
2026-05-19,7271.66015625,13364.7998046875,0.0093289364527141,-0.0330547861198475,0.0
2026-05-20,7208.9501953125,13399.2900390625,0.0025773529881905,-0.0086612858774837,0.0
2026-05-21,7815.58984375,13446.4296875,0.0035118966723222,0.0807971001562895,0.0
2026-05-22,7847.7099609375,13503.2099609375,0.0042138119986064,0.0041013276400354,0.0
2026-05-26,8047.509765625,13525.6796875,0.0016626455641366,0.0251409331750249,0.0
2026-05-27,8228.7001953125,13627.41015625,0.0074931394787498,0.0222653695719156,0.0
2026-05-28,8185.2900390625,13504.759765625,-0.0090410185717379,-0.0052894216264064,0.0
2026-05-29,8476.150390625,13542.66015625,0.0028025161394751,0.0349177377279727,0.0
